trait	dataset	phenotype	ancestry	build	cases	controls	N	effective_N	HM3_SNP_count	source	checksum	global_h2	global_h2_SE	global_h2_Z	LDSC_intercept
AMD	AMD_IAMDGC2_EUR_LATE	IAMDGC 2.0 European late/advanced AMD; corrected GRCh37 liftover reconstruction	European	GRCh37	15616	16723	32339	32301.106	1022570	http://eaglep.case.edu/iamdgc_web-2/wp-content/uploads/2018/01/IAMDGC_lateAMD_related_EUR_annotated.zip	50fbc7c4e93b36ae02fb2ce01e4b9fe4c40cd3542f9dad91c7a6b9cc9cdae5aa	0.5627	0.2064	2.7262597	1.0827
POAG	GCST90011766_EUR_stage1	Primary open-angle glaucoma, European stage-1 fixed-effect meta-analysis	European	GRCh37	16677	199580	216257	61563.707	1183069	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90011001-GCST90012000/GCST90011766/GCST90011766_buildGRCh37.tsv.gz	2056252e5b2534ee27cebcb3b7ed59f011fcaa5369215b2797676b58318bab05	0.2152	0.0163	13.202454	1.0317
CAT	FinnGen_R10_H7_CATARACTSENILE	Senile cataract, FinnGen R10 endpoint H7_CATARACTSENILE	Finnish-European	GRCh37	65235	363974	429209	221280.02	1160872	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_H7_CATARACTSENILE.gz	356e08ed062b69951c1b5f47983f14720c1a872f7cae04ed5c4457c6d708fde3	0.0555	0.005	11.1	1.0897
CAD	GCST90132314_EUR_primary_discovery	Coronary artery disease, primary European discovery meta-analysis	European/NR	GRCh37	181522	984168	1165690	613021.11	1182021	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90132001-GCST90133000/GCST90132314/GCST90132314_buildGRCh37.tsv	90d3ef0a4a3783e374e35ae341383cf3df96b114d236299c366eb50c08695e97	0.0747	0.0044	16.977273	1.0192
STROKE	GCST90104540_EUR_GIGASTROKE_AIS	Any ischemic stroke / acute ischemic stroke, GIGASTROKE summary statistics	Predominantly European	GRCh37	62100	1234808	1296908	236505.83	1175792	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90104001-GCST90105000/GCST90104540/GCST90104540_buildGRCh37.tsv.gz	e5d9809b608650e36a2808ca27bbb9de5b883ff9661d6d6056d02b3f792eacc0	0.0283	0.0023	12.304348	1.0719
T2D	DIAMANTE_EUR_2022	Type 2 diabetes, DIAMANTE European 2022 summary statistics	European	GRCh37	80154	853816	933970	293100.5	1171068	https://personal.broadinstitute.org/ryank/DIAMANTE.sumstats.zip	dd90b10944597978c6f79abb0462caec93d1735a01f5a9307ee2bc8d575223a4	0.1483	0.0067	22.134328	0.997
CKD	CKDGen_Wuttke2019_EA	Chronic kidney disease overall dichotomous endpoint	European ancestry	GRCh37	41395	439303	480698	151321.18	1175015	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz	b85044c66339630a6d7095dd6f4feb6c917cb69f2fd1842a16720afb013dfd6f	0.0432	0.0061	7.0819672	1.0754
AD	GCST90027158_EUR_Bellenguez2022	Alzheimer disease, EADB European subset with clinical and proxy cases	European	GRCh37	85934	401577	487511	283145.35	1167505	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90027001-GCST90028000/GCST90027158/GCST90027158_buildGRCh38.tsv.gz	013134d22a2a0c2dd0cb683192d0c109da1aec83ba54d94a837a8b71bcbc4a1f	0.0462	0.0045	10.266667	1.0695
PD	GCST009325_EUR_Nalls2019	Parkinson disease including proxy/family-history component	European	GRCh37	33674	449056	482730	125299.95	1132078	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009325/GCST009325.tsv	409b9151871aafb5f6fe9acf0287fe9f5df448eda255d06b9d55b81ac8e68eeb	0.0586	0.0054	10.851852	0.9847
