trait	AMD	POAG	CAT	CAD	STROKE	T2D	CKD	AD	PD
AMD	1	-0.03604908053	-0.009850907336	-0.009329154808	-0.007147588169	0.008662452414	0.01010153594	-0.007713182896	0.008813235091
POAG	-0.03604908053	1	0.0170705842	0.0004875998705	0.007036843121	0.01331096293	0.01642420556	-0.003331968865	0.001785845241
CAT	-0.009850907336	0.0170705842	1	-0.01138670484	0.01619225885	0.004317292358	0.0002771295032	0.002964190482	0.002220354871
CAD	-0.009329154808	0.0004875998705	-0.01138670484	1	0.05386436593	0.0824372958	0.03142542605	0.007375146019	-0.008085434112
STROKE	-0.007147588169	0.007036843121	0.01619225885	0.05386436593	1	0.03782265774	0.02468219178	0.01064724681	0.003212068774
T2D	0.008662452414	0.01331096293	0.004317292358	0.0824372958	0.03782265774	1	0.04104462903	0.007166279559	0.002624060234
CKD	0.01010153594	0.01642420556	0.0002771295032	0.03142542605	0.02468219178	0.04104462903	1	0.008392031376	-0.007191090174
AD	-0.007713182896	-0.003331968865	0.002964190482	0.007375146019	0.01064724681	0.007166279559	0.008392031376	1	0.01695535491
PD	0.008813235091	0.001785845241	0.002220354871	-0.008085434112	0.003212068774	0.002624060234	-0.007191090174	0.01695535491	1
