amd_variant	trait2	rg	rg_se	rg_z	rg_p	cross_trait_intercept	cross_trait_intercept_se	mean_z1z2	warning_flags	primary_rg	primary_rg_se	directional_stability_vs_primary	numerical_stability_vs_primary	VERY_WIDE_CI
AMD_PRIMARY_CORRECTED	POAG	-0.166	0.074	-2.2438	0.0248	-0.0381	0.0075	-0.0849	NONE	-0.166	0.074	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	CAT	0.1103	0.0504	2.1871	0.0287	-0.0107	0.0086	0.013	NONE	0.1103	0.0504	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	CAD	-0.007	0.0383	-0.1833	0.8546	-0.0098	0.012	-0.0109	NONE	-0.007	0.0383	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	STROKE	0.0078	0.0542	0.1437	0.8857	-0.0077	0.0068	-0.006	NONE	0.0078	0.0542	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	T2D	-0.064	0.0374	-1.7127	0.0868	0.009	0.0088	-0.0239	NONE	-0.064	0.0374	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	CKD	0.0141	0.0571	0.2478	0.8043	0.0109	0.007	0.0142	NONE	0.0141	0.0571	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	AD	-0.0368	0.0565	-0.6513	0.5149	-0.0083	0.01	-0.018	NONE	-0.0368	0.0565	STABLE	STABLE	NO
AMD_PRIMARY_CORRECTED	PD	-0.0114	0.0458	-0.2489	0.8034	0.0091	0.0059	0.0062	NONE	-0.0114	0.0458	STABLE	STABLE	NO
AMD_RSID_GRCh37	POAG	-0.1657	0.0735	-2.2555	0.0241	-0.0381	0.0075	-0.0848	NONE	-0.166	0.074	STABLE	STABLE	NO
AMD_RSID_GRCh37	CAT	0.1106	0.0503	2.197	0.028	-0.0107	0.0086	0.013	NONE	0.1103	0.0504	STABLE	STABLE	NO
AMD_RSID_GRCh37	CAD	-0.0071	0.0385	-0.1854	0.8529	-0.0098	0.012	-0.0109	NONE	-0.007	0.0383	STABLE	STABLE	NO
AMD_RSID_GRCh37	STROKE	0.0077	0.0544	0.142	0.8871	-0.0077	0.0068	-0.006	NONE	0.0078	0.0542	STABLE	STABLE	NO
AMD_RSID_GRCh37	T2D	-0.064	0.0373	-1.7185	0.0857	0.0091	0.0088	-0.0238	NONE	-0.064	0.0374	STABLE	STABLE	NO
AMD_RSID_GRCh37	CKD	0.0147	0.0571	0.2575	0.7968	0.0109	0.007	0.0142	NONE	0.0141	0.0571	STABLE	STABLE	NO
AMD_RSID_GRCh37	AD	-0.0368	0.0565	-0.6517	0.5146	-0.0083	0.01	-0.018	NONE	-0.0368	0.0565	STABLE	STABLE	NO
AMD_RSID_GRCh37	PD	-0.0116	0.046	-0.2534	0.8	0.0091	0.0059	0.0062	NONE	-0.0114	0.0458	STABLE	STABLE	NO
AMD_HM3_STRICT	POAG	-0.166	0.0739	-2.2447	0.0248	-0.038	0.0075	-0.0848	NONE	-0.166	0.074	STABLE	STABLE	NO
AMD_HM3_STRICT	CAT	0.1105	0.0503	2.1962	0.0281	-0.0107	0.0086	0.013	NONE	0.1103	0.0504	STABLE	STABLE	NO
AMD_HM3_STRICT	CAD	-0.0072	0.0383	-0.1873	0.8514	-0.0098	0.012	-0.0109	NONE	-0.007	0.0383	STABLE	STABLE	NO
AMD_HM3_STRICT	STROKE	0.0076	0.0541	0.1408	0.888	-0.0077	0.0068	-0.006	NONE	0.0078	0.0542	STABLE	STABLE	NO
AMD_HM3_STRICT	T2D	-0.0641	0.0374	-1.7159	0.0862	0.0091	0.0088	-0.0239	NONE	-0.064	0.0374	STABLE	STABLE	NO
AMD_HM3_STRICT	CKD	0.0147	0.0571	0.2575	0.7968	0.0109	0.007	0.0142	NONE	0.0141	0.0571	STABLE	STABLE	NO
AMD_HM3_STRICT	AD	-0.0368	0.0565	-0.6517	0.5146	-0.0083	0.01	-0.018	NONE	-0.0368	0.0565	STABLE	STABLE	NO
AMD_HM3_STRICT	PD	-0.0112	0.0458	-0.2449	0.8066	0.009	0.0059	0.0062	NONE	-0.0114	0.0458	STABLE	STABLE	NO
