pair	status	pid_if_active	raw_file	raw_file_size	last_modified	log_file	exit_code	action	regions_returned	chromosomes_observed	finite_rho	finite_var	finite_P	finite_corr	negative_h2_trait1	negative_h2_trait2
AMD-CAD	COMPLETE_VALID		results/phase1D/raw_supergnova/AMD-CAD.txt	329506	2026-09-18T21:03:50+08:00	logs/phase1D/AMD-CAD.log	0	KEEP_COMPLETED_VALID	2264	22	2264	2264	2264	1107	864	499
AMD-STROKE	COMPLETE_VALID		results/phase1D/raw_supergnova/AMD-STROKE.txt	327143	2026-09-18T21:42:31+08:00	logs/phase1D/AMD-STROKE.log	0	KEEP_COMPLETED_VALID	2263	22	2263	2263	2263	958	865	745
AMD-T2D	COMPLETE_VALID		results/phase1D/raw_supergnova/AMD-T2D.txt	329877	2026-09-18T21:43:00+08:00	logs/phase1D/AMD-T2D.log	0	KEEP_COMPLETED_VALID	2263	22	2263	2263	2263	1112	865	480
AMD-CKD	COMPLETE_VALID		results/phase1D/raw_supergnova/AMD-CKD.txt	325847	2026-09-18T22:03:36+08:00	logs/phase1D/AMD-CKD.log	0	KEEP_COMPLETED_VALID	2263	22	2263	2263	2263	839	867	927
AMD-AD	COMPLETE_VALID		results/phase1D/raw_supergnova/AMD-AD.txt	326270	2026-09-18T22:03:08+08:00	logs/phase1D/AMD-AD.log	0	KEEP_COMPLETED_VALID	2260	22	2260	2260	2260	921	864	803
AMD-PD	COMPLETE_VALID		results/phase1D/raw_supergnova/AMD-PD.txt	324766	2026-09-18T22:30:53+08:00	logs/phase1D/AMD-PD.log	0	KEEP_COMPLETED_VALID	2263	22	2263	2263	2263	769	866	1014
POAG-CAD	COMPLETE_VALID		results/phase1D/raw_supergnova/POAG-CAD.txt	331233	2026-09-18T22:30:53+08:00	logs/phase1D/POAG-CAD.log	0	KEEP_COMPLETED_VALID	2264	22	2264	2264	2264	1170	799	499
POAG-STROKE	COMPLETE_VALID		results/phase1D/raw_supergnova/POAG-STROKE.txt	328429	2026-09-18T22:41:27+08:00	logs/phase1D/POAG-STROKE.log	0	KEEP_COMPLETED_VALID	2266	22	2266	2266	2266	1009	801	752
POAG-T2D	COMPLETE_VALID		results/phase1D/raw_supergnova/POAG-T2D.txt	330463	2026-09-18T22:41:27+08:00	logs/phase1D/POAG-T2D.log	0	KEEP_COMPLETED_VALID	2263	22	2263	2263	2263	1172	791	477
POAG-CKD	COMPLETE_VALID		results/phase1D/raw_supergnova/POAG-CKD.txt	325728	2026-09-18T22:49:49+08:00	logs/phase1D/POAG-CKD.log	0	KEEP_COMPLETED_VALID	2262	22	2262	2262	2262	874	797	928
POAG-AD	COMPLETE_VALID		results/phase1D/raw_supergnova/POAG-AD.txt	327217	2026-09-18T22:49:49+08:00	logs/phase1D/POAG-AD.log	0	KEEP_COMPLETED_VALID	2261	22	2261	2261	2261	970	795	805
POAG-PD	COMPLETE_VALID		results/phase1D/raw_supergnova/POAG-PD.txt	325124	2026-09-18T22:59:30+08:00	logs/phase1D/POAG-PD.log	0	KEEP_COMPLETED_VALID	2266	22	2266	2266	2266	806	803	1014
CAT-CAD	COMPLETE_VALID		results/phase1D/raw_supergnova/CAT-CAD.txt	330753	2026-09-18T22:59:30+08:00	logs/phase1D/CAT-CAD.log	0	KEEP_COMPLETED_VALID	2263	22	2263	2263	2263	1210	771	494
CAT-STROKE	COMPLETE_VALID		results/phase1D/raw_supergnova/CAT-STROKE.txt	327859	2026-09-18T23:14:23+08:00	logs/phase1D/CAT-STROKE.log	0	KEEP_COMPLETED_VALID	2261	22	2261	2261	2261	994	770	751
CAT-T2D	COMPLETE_VALID		results/phase1D/raw_supergnova/CAT-T2D.txt	345364	2026-09-19T00:36:27+08:00	logs/phase1D/CAT-T2D.log	0	KEEP_COMPLETED_VALID	2345	22	2345	2345	2345	1230	806	506
CAT-CKD	COMPLETE_VALID		results/phase1D/raw_supergnova/CAT-CKD.txt	340407	2026-09-19T01:57:31+08:00	logs/phase1D/CAT-CKD.log	0	KEEP_COMPLETED_VALID	2344	22	2344	2344	2344	914	800	977
CAT-AD	COMPLETE_VALID		results/phase1D/raw_supergnova/CAT-AD.txt	341984	2026-09-19T02:54:45+08:00	logs/phase1D/CAT-AD.log	0	KEEP_COMPLETED_VALID	2345	22	2345	2345	2345	1013	806	842
CAT-PD	COMPLETE_VALID		results/phase1D/raw_supergnova/CAT-PD.txt	325919	2026-09-19T02:17:29+08:00	logs/phase1D/CAT-PD.log	0	KEEP_COMPLETED_VALID	2262	22	2262	2262	2262	839	770	1014
