pair	ocular_trait	systemic_trait	positive_burden	negative_burden	signed_net	absolute_total	regions	positive_burden_atlas_sig	negative_burden_atlas_sig	signed_net_atlas_sig	absolute_total_atlas_sig	regions_atlas_sig	balance_index	POS_BURDEN	NEG_BURDEN	SIGNED_NET	ABS_TOTAL	BALANCE	POS_BURDEN_ATLAS_SIG	NEG_BURDEN_ATLAS_SIG	SIGNED_NET_ATLAS_SIG	ABS_TOTAL_ATLAS_SIG
AMD-CAD	AMD	CAD	0.0513499079377117	0.0511941500115235	0.0001557579261882	0.1025440579492352	2264	0.0012675173808473	0.0007494295902181	0.0005180877906292	0.0020169469710654	4	0.0015189366337091	0.0513499079377117	0.0511941500115235	0.0001557579261882	0.1025440579492352	0.0015189366337091	0.0012675173808473	0.0007494295902181	0.0005180877906292	0.0020169469710654
AMD-STROKE	AMD	STROKE	0.0651920862036172	0.0624207330305004	0.0027713531731168	0.1276128192341177	2263	0.0006560101076822	0.0005152675087054	0.0001407425989768	0.0011712776163876	2	0.0217168869847825	0.0651920862036172	0.0624207330305004	0.0027713531731168	0.1276128192341177	0.0217168869847825	0.0006560101076822	0.0005152675087054	0.0001407425989768	0.0011712776163876
AMD-T2D	AMD	T2D	0.0697591518372177	0.0844937577722414	-0.0147346059350237	0.1542529096094591	2263	0.0016806786141936	0.0013651380731998	0.0003155405409938	0.0030458166873934	5	-0.0955223857516148	0.0697591518372177	0.0844937577722414	-0.0147346059350237	0.1542529096094591	-0.0955223857516148	0.0016806786141936	0.0013651380731998	0.0003155405409938	0.0030458166873934
AMD-CKD	AMD	CKD	0.0822527614314114	0.074902837693578	0.0073499237378333	0.1571555991249894	2263	0.0004688619412696	0.0004883119291701	-1.944998790049996e-05	0.0009571738704397	2	0.0467684497323432	0.0822527614314114	0.074902837693578	0.0073499237378333	0.1571555991249894	0.0467684497323432	0.0004688619412696	0.0004883119291701	-1.944998790049996e-05	0.0009571738704397
AMD-AD	AMD	AD	0.0569102812349026	0.0639200567401098	-0.0070097755052072	0.1208303379750124	2260	0.0	0.0	0.0	0.0	0	-0.0580133733190155	0.0569102812349026	0.0639200567401098	-0.0070097755052072	0.1208303379750124	-0.0580133733190155	0.0	0.0	0.0	0.0
AMD-PD	AMD	PD	0.0815251756095202	0.0815491960441463	-2.4020434626063902e-05	0.1630743716536666	2263	0.0	0.0010906243548518	-0.0010906243548518	0.0010906243548518	2	-0.0001472974225347	0.0815251756095202	0.0815491960441463	-2.4020434626063902e-05	0.1630743716536666	-0.0001472974225347	0.0	0.0010906243548518	-0.0010906243548518	0.0010906243548518
POAG-CAD	POAG	CAD	0.037314361795653	0.0421305684466936	-0.0048162066510405	0.0794449302423467	2264	0.0	0.0012531287042562	-0.0012531287042562	0.0012531287042562	4	-0.0606232095156818	0.037314361795653	0.0421305684466936	-0.0048162066510405	0.0794449302423467	-0.0606232095156818	0.0	0.0012531287042562	-0.0012531287042562	0.0012531287042562
POAG-STROKE	POAG	STROKE	0.0495448338534789	0.0466015411268164	0.0029432927266625	0.0961463749802954	2266	0.0	0.0003809013220984	-0.0003809013220984	0.0003809013220984	1	0.0306126229643683	0.0495448338534789	0.0466015411268164	0.0029432927266625	0.0961463749802954	0.0306126229643683	0.0	0.0003809013220984	-0.0003809013220984	0.0003809013220984
POAG-T2D	POAG	T2D	0.0557191698243524	0.0577680090672646	-0.0020488392429123	0.113487178891617	2263	0.0	0.0007565124605191	-0.0007565124605191	0.0007565124605191	3	-0.0180534864195451	0.0557191698243524	0.0577680090672646	-0.0020488392429123	0.113487178891617	-0.0180534864195451	0.0	0.0007565124605191	-0.0007565124605191	0.0007565124605191
POAG-CKD	POAG	CKD	0.0524433655622441	0.0666775885195799	-0.0142342229573358	0.1191209540818241	2262	0.0003302425462261	0.0006214369245017	-0.0002911943782756	0.0009516794707278	3	-0.119493862914818	0.0524433655622441	0.0666775885195799	-0.0142342229573358	0.1191209540818241	-0.119493862914818	0.0003302425462261	0.0006214369245017	-0.0002911943782756	0.0009516794707278
