pair	ocular_trait	systemic_trait	regions_attempted	regions_returned	regions_missing_from_output	rho_finite	corr_finite	h2_ocular_negative	h2_systemic_negative	h2_ocular_zero	h2_systemic_zero	variance_nonfinite	variance_negative	P_nonfinite	P_outside_0_1	abs_rho_gt_1	low_SNP_returned_m_lt_120	mean_m_returned	median_m_returned	internal_pheno_corr	internal_pheno_corr_var	N1_used	N2_used	analysis_snps_before_ldscore	status
AMD-CAD	AMD	CAD	2353	2264	89	2264	1107	864	499	0	0	0	0	0	0	0	0	469.922703180212	442.0	-0.013667497829209684	0.00017502341574350343	32301.0	613021.0	1069854.0	PASS
AMD-STROKE	AMD	STROKE	2353	2263	90	2263	958	865	745	0	0	0	0	0	0	0	0	470.041095890411	442.0	-0.01212844167316852	0.00013558544304808362	32301.0	236506.0	1069774.0	PASS
AMD-T2D	AMD	T2D	2353	2263	90	2263	1112	865	480	0	0	0	0	0	0	0	0	467.9544851966416	440.0	0.0041446260591126455	0.00010404121066666891	32301.0	293100.0	1065014.0	PASS
AMD-CKD	AMD	CKD	2353	2263	90	2263	839	867	927	0	0	0	0	0	0	0	0	469.24436588599207	442.0	-0.0009619262619286716	7.735055567075561e-05	32301.0	151321.0	1067916.0	PASS
AMD-AD	AMD	AD	2353	2260	93	2260	921	864	803	0	0	0	0	0	0	0	0	466.6318584070796	440.0	-0.0046513353839936055	8.532050952849954e-05	32301.0	283145.0	1060992.0	PASS
AMD-PD	AMD	PD	2353	2263	90	2263	769	866	1014	0	0	0	0	0	0	0	0	469.68625718073355	441.0	0.0031321910401019594	5.077683798711226e-05	32301.0	125300.0	1068973.0	PASS
POAG-CAD	POAG	CAD	2353	2264	89	2264	1170	799	499	0	0	0	0	0	0	0	0	470.84496466431096	443.0	0.006760709976397497	0.0001267960804336999	61564.0	613021.0	1072095.0	PASS
POAG-STROKE	POAG	STROKE	2353	2266	87	2266	1009	801	752	0	0	0	0	0	0	0	0	470.4210061782877	442.5	0.001871343900341462	9.482778343196266e-05	61564.0	236506.0	1071743.0	PASS
POAG-T2D	POAG	T2D	2353	2263	90	2263	1172	791	477	0	0	0	0	0	0	0	0	468.78038002651346	440.0	0.008340337707124095	0.0001146046936882446	61564.0	293100.0	1067022.0	PASS
POAG-CKD	POAG	CKD	2353	2262	91	2262	874	797	928	0	0	0	0	0	0	0	0	470.27144120247567	442.5	0.02455266038759017	7.866423342232673e-05	61564.0	151321.0	1070020.0	PASS
POAG-AD	POAG	AD	2353	2261	92	2261	970	795	805	0	0	0	0	0	0	0	0	466.4484741264927	440.0	-0.013126097524520574	9.083129140312492e-05	61564.0	283145.0	1060959.0	PASS
POAG-PD	POAG	PD	2353	2266	87	2266	806	803	1014	0	0	0	0	0	0	0	0	470.17166813768756	442.0	-0.0031229160196364035	8.039706505843845e-05	61564.0	125300.0	1071207.0	PASS
CAT-CAD	CAT	CAD	2353	2263	90	2263	1210	771	494	0	0	0	0	0	0	0	0	468.23596995139195	441.0	-0.021685557307509807	8.035848705506435e-05	221280.0	613021.0	1065731.0	PASS
CAT-STROKE	CAT	STROKE	2353	2261	92	2261	994	770	751	0	0	0	0	0	0	0	0	468.45333923042904	441.0	0.015028216683086208	4.887042576622693e-05	221280.0	236506.0	1065536.0	PASS
CAT-T2D	CAT	T2D	2353	2345	8	2345	1230	806	506	0	0	0	0	0	0	0	0	1905.214498933902	1814.0	0.013117176915865248	4.625337433171678e-05	221280.0	293100.0	4468005.0	PASS
CAT-CKD	CAT	CKD	2353	2344	9	2344	914	800	977	0	0	0	0	0	0	0	0	1965.3451365187714	1869.5	0.005442225879381532	3.771570498800642e-05	221280.0	151321.0	4606959.0	PASS
CAT-AD	CAT	AD	2353	2345	8	2345	1013	806	842	0	0	0	0	0	0	0	0	1966.8012793176972	1883.0	-0.004239188384615372	3.28001595330835e-05	221280.0	283145.0	4612509.0	PASS
CAT-PD	CAT	PD	2353	2262	91	2262	839	770	1014	0	0	0	0	0	0	0	0	467.96905393457115	440.0	0.008914846757839472	0.00013167650729095385	221280.0	125300.0	1064779.0	PASS
