pair	ocular_trait	systemic_trait	supergnova_internal_pheno_corr	supergnova_internal_pheno_corr_var	N1_used	N2_used	analysis_snps_before_ldscore
AMD-CAD	AMD	CAD	-0.013667497829209684	0.00017502341574350343	32301.0	613021.0	1069854.0
AMD-STROKE	AMD	STROKE	-0.01212844167316852	0.00013558544304808362	32301.0	236506.0	1069774.0
AMD-T2D	AMD	T2D	0.0041446260591126455	0.00010404121066666891	32301.0	293100.0	1065014.0
AMD-CKD	AMD	CKD	-0.0009619262619286716	7.735055567075561e-05	32301.0	151321.0	1067916.0
AMD-AD	AMD	AD	-0.0046513353839936055	8.532050952849954e-05	32301.0	283145.0	1060992.0
AMD-PD	AMD	PD	0.0031321910401019594	5.077683798711226e-05	32301.0	125300.0	1068973.0
POAG-CAD	POAG	CAD	0.006760709976397497	0.0001267960804336999	61564.0	613021.0	1072095.0
POAG-STROKE	POAG	STROKE	0.001871343900341462	9.482778343196266e-05	61564.0	236506.0	1071743.0
POAG-T2D	POAG	T2D	0.008340337707124095	0.0001146046936882446	61564.0	293100.0	1067022.0
POAG-CKD	POAG	CKD	0.02455266038759017	7.866423342232673e-05	61564.0	151321.0	1070020.0
POAG-AD	POAG	AD	-0.013126097524520574	9.083129140312492e-05	61564.0	283145.0	1060959.0
POAG-PD	POAG	PD	-0.0031229160196364035	8.039706505843845e-05	61564.0	125300.0	1071207.0
CAT-CAD	CAT	CAD	-0.021685557307509807	8.035848705506435e-05	221280.0	613021.0	1065731.0
CAT-STROKE	CAT	STROKE	0.015028216683086208	4.887042576622693e-05	221280.0	236506.0	1065536.0
CAT-T2D	CAT	T2D	0.013117176915865248	4.625337433171678e-05	221280.0	293100.0	4468005.0
CAT-CKD	CAT	CKD	0.005442225879381532	3.771570498800642e-05	221280.0	151321.0	4606959.0
CAT-AD	CAT	AD	-0.004239188384615372	3.28001595330835e-05	221280.0	283145.0	4612509.0
CAT-PD	CAT	PD	0.008914846757839472	0.00013167650729095385	221280.0	125300.0	1064779.0
