trait	input_path	output_path	build	ancestry	raw_N_manifest	effective_N_manifest	scalar_N_used	raw_rows	valid_rows	duplicate_rows_removed	missing_required_rows	invalid_numeric_rows	invalid_allele_rows	p_outside_0_1	z_positive	z_negative	z_zero	reference_overlap	allele_compatible	allele_incompatible	n_min	n_max	reference_snps	reference_overlap_fraction	created
AMD	data/harmonized/AMD.standardized.tsv.gz	data/phase1D/sumstats/AMD.supergnova.sumstats.gz	GRCh37	European	32339	32301.106	32301	1219003	1180803	38200	0	0	0	0	609202	571601	0	1070589	1070476	113	32339.0	32339.0	6098448	0.9066618225055323	2026-09-18T20:09:59+08:00
POAG	data/harmonized/POAG.standardized.tsv.gz	data/phase1D/sumstats/POAG.supergnova.sumstats.gz	GRCh37	European	216257	61563.707	61564	1184447	1184447	0	0	0	0	0	592255	589624	2568	1073771	1072537	1234	216257.0	216257.0	6098448	0.9065589258109481	2026-09-18T20:10:38+08:00
CAT	data/harmonized/CAT.standardized.tsv.gz	data/phase1D/sumstats/CAT.supergnova.sumstats.gz	GRCh37	Finnish-European	429209	221280.02	221280	15681060	15681060	0	0	0	0	0	7809684	7871376	0	4797628	4782406	15222	429209.0	429209.0	6098448	0.305950490591835	2026-09-18T20:17:24+08:00
CAD	data/harmonized/CAD.standardized.tsv.gz	data/phase1D/sumstats/CAD.supergnova.sumstats.gz	GRCh37	European/NR	1165690	613021.11	613021	1186501	1184963	1538	0	0	0	0	593361	591602	0	1074168	1072969	1199	121411.0	1165720.0	6098448	0.906499190270076	2026-09-18T20:17:55+08:00
STROKE	data/harmonized/STROKE.standardized.tsv.gz	data/phase1D/sumstats/STROKE.supergnova.sumstats.gz	GRCh37	Predominantly European	1296908	236505.83	236506	1175833	1175833	0	0	0	0	0	582490	588655	4688	1072713	1072663	50	1296908.0	1296908.0	6098448	0.9123004712403887	2026-09-18T20:18:34+08:00
T2D	data/harmonized/T2D.standardized.tsv.gz	data/phase1D/sumstats/T2D.supergnova.sumstats.gz	GRCh37	European	933970	293100.5	293100	8899373	8899373	0	0	0	0	0	4530443	4346452	22478	4550539	4550537	2	933970.0	933970.0	6098448	0.5113325399441062	2026-09-18T20:23:33+08:00
CKD	data/harmonized/CKD.standardized.tsv.gz	data/phase1D/sumstats/CKD.supergnova.sumstats.gz	GRCh37	European ancestry	480698	151321.18	151321	7770664	7770664	0	0	0	0	0	3994601	3758572	17491	4725090	4725081	9	80861.0	444971.0	6098448	0.6080677275455483	2026-09-18T20:28:09+08:00
AD	data/harmonized/AD.standardized.tsv.gz	data/phase1D/sumstats/AD.supergnova.sumstats.gz	GRCh37	European	487511	283145.35	283145	16736150	16736150	0	0	0	0	0	8395665	8318498	21987	4690005	4689186	819	42140.0	487511.0	6098448	0.28023201273889153	2026-09-18T20:35:43+08:00
PD	data/harmonized/PD.standardized.tsv.gz	data/phase1D/sumstats/PD.supergnova.sumstats.gz	GRCh37	European	482730	125299.95	125300	1183696	1183696	0	0	0	0	0	591401	590694	1601	1073055	1071960	1095	879.0	482730.0	6098448	0.9065292102026196	2026-09-18T20:36:14+08:00
