analysis_set	direction	excluded_regions	n_loci	n_genes	n_background_genes	n_terms_returned	n_terms_fdr_lt_0_05	top_term	top_term_fdr	status
NEGATIVE_ALL_LEVELS	NEGATIVE	NONE	32	121	984	0	0			API_ERROR: NO_RESULT_FIELD
NEGATIVE_ONE_LOCUS_ONE_GENE	NEGATIVE	NONE	32	26	984	6562	0	negative regulation of B cell mediated immunity	0.9859659599868751	CUSTOM_BACKGROUND
NEGATIVE_EXCLUDE_TOP1	NEGATIVE	TOP1	32	26	984	6562	0	negative regulation of B cell mediated immunity	0.9859659599868751	CUSTOM_BACKGROUND
NEGATIVE_EXCLUDE_TOP3	NEGATIVE	TOP3	30	24	984	6562	0	negative regulation of B cell mediated immunity	0.8567704204014164	CUSTOM_BACKGROUND
POSITIVE_ALL_LEVELS	POSITIVE	NONE	26	137	984	0	0			API_ERROR: NO_RESULT_FIELD
POSITIVE_ONE_LOCUS_ONE_GENE	POSITIVE	NONE	26	22	984	0	0			API_ERROR: NO_RESULT_FIELD
POSITIVE_EXCLUDE_TOP1	POSITIVE	TOP1	18	18	984	0	0			API_ERROR: NO_RESULT_FIELD
POSITIVE_EXCLUDE_TOP3	POSITIVE	TOP3	12	12	984	0	0			API_ERROR: NO_RESULT_FIELD
