pair	null_variants	VarZ1	VarZ2	CorZ	ld_pruned_null_variants	VarZ1_ld_pruned	VarZ2_ld_pruned	CorZ_ld_pruned	varz1_positive	varz2_positive	varz1_inflated_flag	varz2_inflated_flag	corz_near_boundary_flag	too_few_null_flag	nonfinite_flag	status
AMD-CAD	1069890	1.30918193097755	1.7853151876816	0.0002664982317768	20852	1.17090139841769	1.34901284374056	0.0003140883074178	True	True	False	False	False	False	False	PASS
AMD-STROKE	1069890	1.31731436125794	1.23717421856719	-0.0055818475872662	20834	1.19358530636829	1.12047671805562	-0.006924428071954	True	True	False	False	False	False	False	PASS
AMD-T2D	1065074	1.30340757106524	1.89523903163215	-0.0107009738341832	20725	1.17149731258785	1.42782245543416	-0.0073705507978349	True	True	False	False	False	False	False	PASS
AMD-CKD	1068111	1.31904519320333	1.19654600531366	0.0066592427875461	20544	1.1940222568794	1.10809442272042	-0.0128357179751485	True	True	False	False	False	False	False	PASS
AMD-AD	1061805	1.31286867387373	1.28657680688687	-0.0092236489271704	20701	1.19303971123146	1.16432214020834	-0.0045390248841532	True	True	False	False	False	False	False	PASS
AMD-PD	1069180	1.31910719213236	1.14099679459338	0.0046411888240676	20831	1.19349059117051	1.05441414055008	0.0097940186652376	True	True	False	False	False	False	False	PASS
POAG-CAD	1072238	1.30056377955183	1.77995615973352	-0.0084024289940866	20920	1.14497643918657	1.34920382749459	0.0009007659540745	True	True	False	False	False	False	False	PASS
POAG-STROKE	1071738	1.30918227582724	1.23761054380392	0.0047832743708954	20891	1.14690019995161	1.12042524317555	0.010304365946019	True	True	False	False	False	False	False	PASS
POAG-T2D	1066874	1.3038821836655	1.89443481626829	-0.0072565064554728	20776	1.14703447205555	1.4299856029689	0.0029509624673118	True	True	False	False	False	False	False	PASS
POAG-CKD	1070005	1.31426765190137	1.19805520548456	-0.0017326968892066	20599	1.14778947446862	1.10926344330659	-0.0026377483988954	True	True	False	False	False	False	False	PASS
POAG-AD	1060217	1.3146949261566	1.2865131846601	0.004630573739279	20677	1.14770670811981	1.16409369588564	-0.0071158733188682	True	True	False	False	False	False	False	PASS
POAG-PD	1071718	1.31392862748754	1.14070331358073	-0.0033552466814525	20903	1.14677283952157	1.05470354935033	0.0014414324890443	True	True	False	False	False	False	False	PASS
CAT-CAD	1159275	1.28872290673193	1.75279295510703	0.0389189155193844	20770	1.17459413456216	1.35281811731537	0.024712731260072	True	True	False	False	False	False	False	PASS
CAT-STROKE	1156016	1.29044924007814	1.22897483812757	0.0264917239793507	20753	1.17500630675298	1.11992767182116	0.0130071930750483	True	True	False	False	False	False	False	PASS
CAT-T2D	6065219	1.26357195015086	1.68569531523344	0.0336059109788163	62993	1.18219558493747	1.33345895605291	0.0252041487818271	True	True	False	False	False	False	False	PASS
CAT-CKD	6198497	1.27257601813855	1.17050762219613	0.0028328674933802	61186	1.18582428678667	1.10478387785611	0.0065990801261868	True	True	False	False	False	False	False	PASS
CAT-AD	6161018	1.27124506151447	1.26145071571031	-0.0082870923334741	65140	1.18191940934862	1.15207353023756	-0.0137963693222152	True	True	False	False	False	False	False	PASS
CAT-PD	1158108	1.29075876462202	1.13169468636048	0.000502141921315	20754	1.17457257758202	1.0524472707299	-0.0073890179487034	True	True	False	False	False	False	False	PASS
