pair	N_variants_tested	N_PLACO_P_lt_5e8	N_atlas_stringent	N_atlas_FDR	N_independent_loci	N_positive_effect_variants	N_negative_effect_variants	N_overlapping_PHASE1D_regions	N_direction_concordant_overlaps	N_direction_discordant_overlaps	HIDDEN_MIXED_PAIR
AMD-CAD	1069470	292	176	1425	1429	670	759	4	293	0	True
AMD-STROKE	1069680	118	40	444	444	212	232	2	176	0	True
AMD-T2D	1064407	76	36	1109	1129	541	588	5	290	0	True
AMD-CKD	1067832	56	22	374	374	170	204	2	93	0	True
AMD-AD	1061463	29	5	442	442	201	241	0	0	0	False
AMD-PD	1068850	8	5	163	163	59	104	1	44	0	False
POAG-CAD	1072050	285	204	1443	1489	540	949	4	130	0	False
POAG-STROKE	1071699	30	11	437	448	253	195	1	59	0	False
POAG-T2D	1066430	133	48	924	944	538	406	2	14	0	False
POAG-CKD	1069920	42	14	549	549	155	394	1	14	0	True
POAG-AD	1060059	49	20	614	614	354	260	0	0	0	False
POAG-PD	1071584	19	17	212	212	71	141	0	0	0	False
CAT-CAD	1159008	156	100	1314	1315	887	428	3	89	0	False
CAT-STROKE	1156028	81	22	527	527	417	110	2	112	0	True
CAT-T2D	6065434	2770	1959	8373	8427	6700	1727	7	947	0	False
CAT-CKD	6198519	211	25	2445	2445	1480	965	1	137	0	False
CAT-AD	6161196	1136	616	4825	4819	1301	3524	5	639	0	True
CAT-PD	1158091	104	56	372	372	61	311	1	104	0	False
