pair	eligible_variants	primary_variants	extreme_z_variants	z1_positive	z1_negative	z1_zero	z2_positive	z2_negative	z2_zero	z1_nonfinite	z2_nonfinite	placo_nonfinite	null_variants	ld_pruned_null_variants	VarZ1	VarZ2	CorZ	VarZ1_ld_pruned	VarZ2_ld_pruned	CorZ_ld_pruned
AMD-CAD	1070120	1069470	650	551080	519040	0	538859	531261	0	0	0	0	1069890	20852	1.30918193097755	1.7853151876816	0.0002664982317768	1.17090139841769	1.34901284374056	0.0003140883074178
AMD-STROKE	1069961	1069680	281	550988	518973	0	524152	541329	4480	0	0	0	1069890	20834	1.31731436125794	1.23717421856719	-0.0055818475872662	1.19358530636829	1.12047671805562	-0.006924428071954
AMD-T2D	1065184	1064407	777	548540	516644	0	535802	524999	4383	0	0	0	1065074	20725	1.30340757106524	1.89523903163215	-0.0107009738341832	1.17149731258785	1.42782245543416	-0.0073705507978349
AMD-CKD	1068119	1067832	287	549999	518120	0	547588	517050	3481	0	0	0	1068111	20544	1.31904519320333	1.19654600531366	0.0066592427875461	1.1940222568794	1.10809442272042	-0.0128357179751485
AMD-AD	1061820	1061463	357	546765	515055	0	533571	524397	3852	0	0	0	1061805	20701	1.31286867387373	1.28657680688687	-0.0092236489271704	1.19303971123146	1.16432214020834	-0.0045390248841532
AMD-PD	1069180	1068850	330	550582	518598	0	532620	535048	1512	0	0	0	1069180	20831	1.31910719213236	1.14099679459338	0.0046411888240676	1.19349059117051	1.05441414055008	0.0097940186652376
POAG-CAD	1072476	1072050	426	535972	534045	2459	536828	535648	0	0	0	0	1072238	20920	1.30056377955183	1.77995615973352	-0.0084024289940866	1.14497643918657	1.34920382749459	0.0009007659540745
POAG-STROKE	1071793	1071699	94	535613	533721	2459	531413	535888	4492	0	0	0	1071738	20891	1.30918227582724	1.23761054380392	0.0047832743708954	1.14690019995161	1.12042524317555	0.010304365946019
POAG-T2D	1067022	1066430	592	533192	531378	2452	531364	531272	4386	0	0	0	1066874	20776	1.3038821836655	1.89443481626829	-0.0072565064554728	1.14703447205555	1.4299856029689	0.0029509624673118
POAG-CKD	1070020	1069920	100	534748	532815	2457	534922	531608	3490	0	0	0	1070005	20599	1.31426765190137	1.19805520548456	-0.0017326968892066	1.14778947446862	1.10926344330659	-0.0026377483988954
POAG-AD	1060233	1060059	174	529855	527945	2433	528587	527795	3851	0	0	0	1060217	20677	1.3146949261566	1.2865131846601	0.004630573739279	1.14770670811981	1.16409369588564	-0.0071158733188682
POAG-PD	1071727	1071584	143	535587	533681	2459	535353	534859	1515	0	0	0	1071718	20903	1.31392862748754	1.14070331358073	-0.0033552466814525	1.14677283952157	1.05470354935033	0.0014414324890443
CAT-CAD	1159421	1159008	413	577221	582200	0	584645	574776	0	0	0	0	1159275	20770	1.28872290673193	1.75279295510703	0.0389189155193844	1.17459413456216	1.35281811731537	0.024712731260072
CAT-STROKE	1156067	1156028	39	575480	580587	0	570724	580698	4645	0	0	0	1156016	20753	1.29044924007814	1.22897483812757	0.0264917239793507	1.17500630675298	1.11992767182116	0.0130071930750483
CAT-T2D	6067475	6065434	2041	3025002	3042473	0	3156889	2890264	20322	0	0	0	6065219	62993	1.26357195015086	1.68569531523344	0.0336059109788163	1.18219558493747	1.33345895605291	0.0252041487818271
CAT-CKD	6198697	6198519	178	3090995	3107702	0	3374787	2807617	16293	0	0	0	6198497	61186	1.27257601813855	1.17050762219613	0.0028328674933802	1.18582428678667	1.10478387785611	0.0065990801261868
CAT-AD	6161810	6161172	638	3071812	3089998	0	3135034	3008719	18057	0	0	0	6161018	65140	1.27124506151447	1.26145071571031	-0.0082870923334741	1.18191940934862	1.15207353023756	-0.0137963693222152
CAT-PD	1158182	1158091	91	576540	581642	0	577810	578786	1586	0	0	0	1158108	20754	1.29075876462202	1.13169468636048	0.000502141921315	1.17457257758202	1.0524472707299	-0.0073890179487034
