pilot_id	pair	tier	original_shared_gwas_snps	panukbb_coordinate_allele_matches	panukbb_included_variants	coverage_fraction	allele_match_fraction	ambiguous_exclusions	unresolved_exclusions	duplicate_exclusions	lead_snp_in_aligned_input	coverage_gate	failure_reason
P2BP01	AMD-CAD	TIER A2	198	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_RUN	NOT_ANALYZED_PHASE2BR	P2BP_FROZEN_LD_COVERAGE_FAIL_NOT_REPLACED
P2BP02	AMD-T2D	TIER A2	521	521	521	1.0	1.0	0	0	0	TRUE	PASS	
P2BP03	AMD-CKD	TIER A2	480	480	480	1.0	1.0	0	0	0	TRUE	PASS	
P2BP04	AMD-STROKE	TIER A2	384	384	384	1.0	1.0	0	0	0	TRUE	PASS	
P2BP05	POAG-CKD	TIER A2	626	626	626	1.0	1.0	0	0	0	TRUE	PASS	
P2BP06	AMD-T2D	TIER A2	448	447	447	0.9977678571428571	0.9977678571428571	0	1	0	TRUE	PASS	
P2BP07	AMD-CAD	TIER C2	283	283	283	1.0	1.0	0	0	0	TRUE	PASS	
P2BP08	AMD-STROKE	TIER C2	561	560	560	0.9982174688057041	0.9982174688057041	0	1	0	TRUE	PASS	
